视频标题,发布时间,播放量,点赞量,收藏量,弹幕量,评论量,转发量,投币量,视频时长(s),BV号,AV号
《崩坏：星穹铁道》动画短片：「跋涉」,2025-09-24 12:00:00,2773947,237433,72151,31879,11209,20329,110866,598,BV1BpJrz7EUL,115252159121770
《崩坏：星穹铁道》长夜月角色PV——「天黑请闭眼」,2025-09-23 12:00:00,6347831,384464,126499,54192,19706,53666,170714,569,BV1r5nwzVEBg,115247511766767
《崩坏：星穹铁道》千星纪游PV：「亲爱的三月七」,2025-09-19 12:00:00,4751962,319857,83393,20002,17117,36097,112734,642,BV1uopiz8E9B,115224409541202
《崩坏：星穹铁道》走近星穹——「长夜月：一开始用红色形态不就好了？」,2025-09-17 12:00:00,2536548,188447,29986,14503,8580,11316,35756,516,BV18vp2zsEu1,115213990890001
《崩坏：星穹铁道》3.6版本「于长夜重返大地」前瞻特别节目,2025-09-12 20:30:00,2313954,117253,24164,72619,8526,4516,27188,1842,BV1ogHezFEGB,115185050258114
《崩坏：星穹铁道》3.6版本PV：「‍于长夜重返大地」,2025-09-12 20:00:00,3168911,147549,27764,23614,10273,8819,41004,734,BV1Y7HezsEpc,115185033414134
《崩坏：星穹铁道》刻律德菈角色PV——「以身入局」,2025-08-29 12:00:00,4154201,287355,68136,103706,21358,22728,93477,538,BV1Hdh1zhE1e,115105358481606
《崩坏：星穹铁道》走近星穹——「刻律德菈：吃凯撒沙拉，享霸道人生」,2025-08-27 12:00:00,1857039,169153,23650,72433,8837,8803,31728,439,BV1vDvNzjEYu,115094436447898
《崩坏：星穹铁道》海瑟音角色PV——「海的女儿」,2025-08-12 12:00:00,4900315,287051,53085,148717,19854,27484,82721,574,BV1otbGzXE5K,115009526959309
《崩坏：星穹铁道》走近星穹——「海瑟音：骑士肚里能撑船」,2025-08-06 12:00:00,2155663,159448,20327,33095,9451,7609,23329,552,BV1odtnzkEtF,114975402100793
《崩坏：星穹铁道》3.5版本「英雄未死之前」前瞻特别节目,2025-08-02 20:45:00,2774239,147159,25150,51484,14355,5529,30868,1829,BV1gHhAz9EpC,114941176579205
《崩坏：星穹铁道》救世PV——「开拓者」,2025-08-02 20:00:00,9842878,559192,161249,222522,63267,109609,300769,107,BV19RhAzcEdU,114940891369288
《崩坏：星穹铁道》× Fate[UBW] 联动PV——「相见『很』晚」,2025-07-10 12:00:00,5525515,379934,89183,126675,24523,85276,131913,433,BV1gwGnzdEBk,114816672926680
《崩坏：星穹铁道》走近星穹——「Archer：如果能投影出现代热兵器就好了！」,2025-07-09 12:00:00,2036482,146886,17878,25214,9971,10055,21595,478,BV1gwGnzdEHi,114816672927622
《崩坏：星穹铁道》走近星穹——「Saber：这是只有聪明人才能看到的剑哦」,2025-07-08 12:00:00,2781620,199213,26511,42900,12187,20847,37888,509,BV1hi3yzdEpq,114811622918211
梦幻联动！星穹铁道开启了一场圣杯战争——,2025-07-06 12:00:00,2402650,215503,26927,53572,12206,27412,49950,390,BV1GT3EzDEnn,114793990129343
《崩坏：星穹铁道》音乐MV——「耀斑」,2025-07-03 12:00:00,7577062,356504,165674,44926,16999,32853,162337,223,BV1sV3xzfEXP,114782548003537
《崩坏：星穹铁道》动画短片：「听！狂欢在那神佑的山巅」,2025-07-02 14:00:00,16243881,712948,338780,329080,78818,174119,621956,1155,BV1twgSzhEo8,114775921003380
《崩坏：星穹铁道》白厄角色PV——「日冕」,2025-06-29 12:00:00,28269430,901167,403756,629665,1655183,237879,815652,814,BV1HfKiz3Ezf,114753305447594
《崩坏：星穹铁道》走近星穹——「白厄：全村人的希望」,2025-06-25 12:00:00,3829202,242641,42012,229708,29438,21036,63405,590,BV1AFKtzUEwM,114731209723771
